Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10pF","C_0402_1005Metric",122.000000,-65.500000,0.000000,bottom
"C2","10pF","C_0402_1005Metric",122.500000,-57.000000,90.000000,bottom
"C3","10pF","C_0402_1005Metric",111.020000,-65.500000,0.000000,bottom
"C4","10pF","C_0402_1005Metric",111.500000,-57.000000,90.000000,bottom
"C5","10pF","C_0402_1005Metric",134.000000,-65.500000,0.000000,bottom
"C6","10pF","C_0402_1005Metric",134.500000,-57.000000,90.000000,bottom
"D1","LED","D_1206_3216Metric",123.000000,-68.500000,0.000000,bottom
"D2","LED","D_1206_3216Metric",134.500000,-68.500000,0.000000,bottom
"D3","LED","D_1206_3216Metric",111.500000,-68.500000,0.000000,bottom
"J7","FC-05A8P11H20","FPC_8",102.500000,-57.700000,180.000000,bottom
"JP1","Jumper_2_Open","R_0402_1005Metric",123.500000,-57.000000,90.000000,bottom
"JP2","Jumper_2_Open","R_0402_1005Metric",121.500000,-57.000000,90.000000,bottom
"JP3","Jumper_2_Open","R_0402_1005Metric",112.500000,-57.000000,90.000000,bottom
"JP4","Jumper_2_Open","R_0402_1005Metric",110.500000,-57.000000,90.000000,bottom
"JP5","Jumper_2_Open","R_0402_1005Metric",135.500000,-57.000000,90.000000,bottom
"JP6","Jumper_2_Open","R_0402_1005Metric",133.500000,-57.000000,90.000000,bottom
"R1","820R","R_0402_1005Metric",123.500000,-66.000000,-90.000000,bottom
"R2","820R","R_0402_1005Metric",135.500000,-66.000000,-90.000000,bottom
"R3","820R","R_0402_1005Metric",112.500000,-66.000000,-90.000000,bottom
"U1","TTP233H-BA6","TSOT-23-6_HandSoldering",122.500000,-61.500000,90.000000,bottom
"U2","TTP233H-BA6","TSOT-23-6_HandSoldering",111.500000,-61.500000,90.000000,bottom
"U3","TTP233H-BA6","TSOT-23-6_HandSoldering",134.500000,-61.500000,90.000000,bottom
