"Designator","Comment","Footprint","JLCPCB Part"
"BZ1","QMB-09B-03","","C96256"
"C6,C7,C8,C11,C12,C30,C31,C39,C40,C96","10uF","0603",""
"C9,C14,C17,C18,C21,C25,C28,C33,C34,C35,C38,C41","100nF","0402",""
"C10,C22,C24,C27","22pF","0402",""
"C13","2.2uF","0402",""
"C16","0.75pF","0402",""
"C23,C81","10uF","2012",""
"C26,C42","100nF","","C46638903"
"C29,C32","1uF","0402",""
"C43,C44","100nF","1812","C2894165"
"D1","SS14","SMA","C2480"
"D2,D3,D4","BAS70X","SOD523","C968051"
"D5","AU1PK-M3/84A","DO-220AA","C4990244"
"D6,D7,D8,D9","MM1W82","SOD-123","C22395533"
"D10","KPTR-3216ZGC","1206","C598401"
"D12","??","SOT-23",""
"D13,D14,D15,D16,D17","PESD5V0F1BL","SOD-882","C3001950"
"IC6","ETA3485S2F","SOT-23-5","C7465518"
"IC8","FM5332D","SOT-23-5","C29781611"
"J1,J5","LJ-1.5LT-3P","","C53055393"
"J2","TYPE-C-31-M-12","","C165948"
"J7","FC-05A8P11H20","","C23398832"
"L1","91R","0402",""
"L2","2.2uH","l4020","C6364797"
"L3","15mH","l4020","C168110"
"L4","2nH","0402",""
"L5","0R","0402",""
"Q1,Q3","AP2301","SOT23-3","C385296"
"Q2,Q10,Q11,Q12,Q13,Q14,Q15","BC817W,115","SOT-323-SC70","C53114055"
"Q4","DI2579N","",""
"Q5","2N7002","",""
"R2,R4","4k7","0402",""
"R3,R7,R12,R17,R39,R43,R44,R45","10k","0402",""
"R5","0R2","0402",""
"R6","2k","0402",""
"R8,R13,R40,R41","100k","0402",""
"R9","2k7","0402",""
"R10","18k","0402",""
"R11","2k2","0402",""
"R14","22k","0402",""
"R15","220R","0402",""
"R16,R18,R35,R38,R42","1k","0402",""
"R19","47M","1206",""
"R20","4.7M","1206",""
"R21,R24,R25,R30","20M","1206",""
"R22","510k","1206",""
"R23,R36","100k","1206",""
"R26,R27","5k1","0402",""
"R28,R29,R37,R46","0R","0402",""
"R31,R32,R33,R34","1M","1206",""
"U1","TP4056-42-ESOP8","SOIC8","C22470410"
"U2","ESP32-C6FH4","QFN32",""
"U3","ADUM3160","","C284149"
"U4","B0505S-2WR3","","C3019590"
"Y1","40MHz","","C5261245"
