Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","QMB-09B-03","MagneticBuzzer_PUI_AT-0927-TT-6-R",132.830000,-139.000000,0.000000,bottom
"C6","10uF","C_0603_1608Metric",180.580000,-115.305000,-90.000000,bottom
"C7","10uF","C_0603_1608Metric",178.080000,-107.780000,-90.000000,bottom
"C8","10uF","C_0603_1608Metric",133.080000,-104.300000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",131.780000,-104.900000,90.000000,bottom
"C10","22pF","C_0402_1005Metric",138.330000,-106.750000,180.000000,bottom
"C11","10uF","C_0603_1608Metric",146.080000,-106.250000,-90.000000,bottom
"C12","10uF","C_0603_1608Metric",147.830000,-106.250000,-90.000000,bottom
"C13","2.2uF","C_0402_1005Metric",149.330000,-105.750000,-90.000000,bottom
"C14","100nF","C_0402_1005Metric",134.864000,-115.658000,90.000000,bottom
"C16","0.75pF","C_0402_1005Metric",133.280000,-120.400000,90.000000,bottom
"C17","100nF","C_0402_1005Metric",164.830000,-93.750000,180.000000,bottom
"C18","100nF","C_0402_1005Metric",157.080000,-100.000000,90.000000,bottom
"C21","100nF","C_0402_1005Metric",138.942500,-97.750000,90.000000,bottom
"C22","22pF","C_0402_1005Metric",141.049000,-125.584000,-90.000000,bottom
"C23","10uF","CP_EIA-2012-12_Kemet-R",148.080000,-102.750000,90.000000,bottom
"C24","22pF","C_0402_1005Metric",135.490000,-126.080000,-90.000000,bottom
"C25","100nF","C_0402_1005Metric",133.238000,-117.944000,90.000000,bottom
"C26","100nF","C_Rect_L11.5mm_W5.6mm_P10.00mm_MKT",192.080000,-121.325000,180.000000,bottom
"C27","22pF","C_0402_1005Metric",153.330000,-133.750000,90.000000,bottom
"C28","100nF","C_0402_1005Metric",136.230000,-118.450000,90.000000,bottom
"C29","1uF","C_0402_1005Metric",132.222000,-117.944000,90.000000,bottom
"C30","10uF","C_0603_1608Metric",130.952000,-117.436000,90.000000,bottom
"C31","10uF","C_0603_1608Metric",140.967000,-123.798000,0.000000,bottom
"C32","1uF","C_0402_1005Metric",140.459000,-122.528000,0.000000,bottom
"C33","100nF","C_0402_1005Metric",135.880000,-115.630000,90.000000,bottom
"C34","100nF","C_0402_1005Metric",134.762000,-117.182000,180.000000,bottom
"C35","100nF","C_0402_1005Metric",155.830000,-100.000000,90.000000,bottom
"C38","100nF","C_0402_1005Metric",160.080000,-113.750000,180.000000,bottom
"C39","10uF","C_0603_1608Metric",166.080000,-100.000000,0.000000,bottom
"C40","10uF","C_0603_1608Metric",178.080000,-111.000000,90.000000,bottom
"C41","100nF","C_0402_1005Metric",157.080000,-114.250000,-90.000000,bottom
"C42","100nF","C_Rect_L11.5mm_W5.6mm_P10.00mm_MKT",192.080000,-127.750000,180.000000,bottom
"C43","100nF","C_1812_4532Metric",186.830000,-121.325000,180.000000,bottom
"C44","100nF","C_1812_4532Metric",186.830000,-127.825000,180.000000,bottom
"C81","10uF","CP_EIA-2012-12_Kemet-R",146.080000,-102.750000,90.000000,bottom
"C96","10uF","C_0603_1608Metric",134.580000,-104.275000,90.000000,bottom
"D1","SS14","D_SMA",146.692500,-98.750000,180.000000,bottom
"D2","BAS70X","D_SOD-523",141.692500,-97.500000,0.000000,bottom
"D3","BAS70X","D_SOD-523",141.692500,-99.000000,0.000000,bottom
"D4","BAS70X","D_SOD-523",141.692500,-100.500000,0.000000,bottom
"D5","AU1PK-M3/84A","D_SMP_DO-220AA",176.580000,-121.250000,180.000000,bottom
"D6","MM1W82","D_SOD-123",177.580000,-127.750000,180.000000,bottom
"D7","MM1W82","D_SOD-123",172.330000,-127.750000,180.000000,bottom
"D8","MM1W82","D_SOD-123",167.330000,-127.750000,180.000000,bottom
"D9","MM1W82","D_SOD-123",162.330000,-127.750000,180.000000,bottom
"D12","??","SOT-23",160.330000,-95.250000,90.000000,bottom
"D13","PESD5V0F1BL","D_SOD-882",163.830000,-95.000000,180.000000,bottom
"D14","PESD5V0F1BL","D_SOD-882",154.580000,-133.850000,-90.000000,bottom
"D15","PESD5V0F1BL","D_SOD-882",155.680000,-129.750000,180.000000,bottom
"D16","PESD5V0F1BL","D_SOD-882",174.080000,-118.150000,90.000000,bottom
"D17","PESD5V0F1BL","D_SOD-882",170.330000,-143.250000,180.000000,bottom
"IC6","ETA3485S2F","SOT-23-5",137.580000,-104.250000,180.000000,bottom
"IC8","FM5332D","SOT-23-3",165.580000,-97.000000,90.000000,bottom
"J1","LJ-1.5LT-3P","LJ-15LT-3P",183.330000,-97.500000,0.000000,bottom
"J2","TYPE-C-31-M-12","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",160.080000,-88.250000,0.000000,bottom
"J5","LJ-1.5LT-3P","LJ-15LT-3P",172.680000,-156.700000,180.000000,bottom
"J7","FC-05A8P11H20","FPC_8",142.180000,-158.360000,0.000000,bottom
"L1","0R","L_0402_1005Metric",134.730000,-120.850000,0.000000,bottom
"L2","2.2uH","L_APV_ANR4020",142.330000,-105.000000,0.000000,bottom
"L3","15mH","L_Taiyo-Yuden_NR-60xx_HandSoldering",159.230000,-121.250000,180.000000,bottom
"L4","0R","L_0402_1005Metric",134.730000,-118.900000,0.000000,bottom
"L5","0R","L_0402_1005Metric",138.509000,-122.513000,90.000000,bottom
"Q1","AP2301","SOT-23-3",145.192500,-95.000000,0.000000,bottom
"Q2","BC817W,115","SOT-323_SC-70",135.942500,-95.500000,0.000000,bottom
"Q3","AP2301","SOT-23-3",140.692500,-95.000000,0.000000,bottom
"Q4","DI2579N","SOT-223-3_TabPin2",168.730000,-121.250000,180.000000,bottom
"Q5","2N7002","SOT-23",153.142000,-127.552000,90.000000,bottom
"Q10","BC817W,115","SOT-323_SC-70",133.580000,-131.500000,180.000000,bottom
"Q11","BC817W,115","SOT-323_SC-70",180.780000,-154.000000,0.000000,bottom
"Q12","BC817W,115","SOT-323_SC-70",150.348000,-145.840000,90.000000,bottom
"Q13","BC817W,115","SOT-323_SC-70",170.280000,-145.937500,90.000000,bottom
"Q14","BC817W,115","SOT-323_SC-70",146.792000,-145.840000,90.000000,bottom
"Q15","BC817W,115","SOT-323_SC-70",143.236000,-145.840000,90.000000,bottom
"R2","4k7","R_0402_1005Metric",181.330000,-105.280000,-90.000000,bottom
"R3","10k","R_0402_1005Metric",158.080000,-114.250000,-90.000000,bottom
"R4","4k7","R_0402_1005Metric",182.330000,-105.280000,-90.000000,bottom
"R5","0R2","R_0402_1005Metric",179.330000,-114.780000,-90.000000,bottom
"R6","2k","R_0402_1005Metric",181.830000,-114.780000,-90.000000,bottom
